7x7,120,50.640,25,0.494
7x7,240,122.266,42,0.344
7x7,360,210.774,35,0.166
7x7,480,336.479,28,0.083
7x7,720, 669.502s,22,0.033
7x7,1080,1453.026,10,0.007
7x6,120,49.414,140,2.833
7x6,240,112.186,295,2.630
7x6,360,197.745,293,1.482
7x6,480,321.830,278,0.864
7x6,720,648.251,199,0.307
7x6,1080,1419.415,129,0.091
6x7,120,49.465,140,2.830
6x7,240,111.898,295,2.636
6x7,360,196.992,293,1.487
6x7,480,320.830,278,0.867
6x7,720,646.070,199,0.308
6x7,1080,1427.996,129,0.090
6x6,120,49.599,113,2.278
6x6,240,103.361,473,4.576
6x6,360,175.973,634,3.603
6x6,480,283.684,653,2.302
6x6,720,565.751,665,1.175
6x6,1080,1286.865,566,0.440
